iter	Passed	Remaining
0	0	72
1	1	66
2	1	63
3	2	56
4	3	59
5	3	56
6	4	53
7	4	51
8	4	50
9	5	48
10	5	47
11	6	46
12	6	45
13	7	44
14	7	43
15	8	42
16	8	41
17	9	41
18	9	40
19	9	39
20	10	39
21	11	39
22	11	38
23	11	37
24	12	37
25	12	36
26	13	36
27	13	35
28	14	35
29	14	34
30	15	33
31	15	33
32	16	32
33	16	32
34	17	31
35	17	31
36	17	30
37	18	30
38	18	29
39	19	29
40	19	28
41	20	27
42	20	27
43	21	26
44	21	26
45	21	25
46	22	25
47	22	24
48	23	24
49	23	23
50	24	23
51	24	22
52	25	22
53	25	21
54	25	21
55	26	20
56	26	20
57	27	19
58	27	19
59	28	18
60	28	18
61	29	17
62	29	17
63	29	16
64	30	16
65	30	15
66	31	15
67	31	14
68	32	14
69	32	14
70	33	13
71	33	13
72	34	12
73	34	12
74	34	11
75	35	11
76	35	10
77	36	10
78	36	9
79	37	9
80	37	8
81	38	8
82	38	7
83	39	7
84	39	6
85	40	6
86	40	6
87	41	5
88	41	5
89	42	4
90	42	4
91	42	3
92	43	3
93	43	2
94	44	2
95	44	1
96	45	1
97	45	0
98	46	0
99	46	0
